Tweet_created_at,username,name,tweet_text,replies_count,retweets_count,likes_count,country_name,id,year
2021-03-21 07:18:01 Iran Standard Time,USER_00001,NAME_00001,i’ve always complained about my kidney disease not allowing me to do what i want but i get the covid vaccine wednesday so that’s cool i guess 😅,1,0,6,North America,1.37E+18,2021
2021-03-12 20:24:50 Iran Standard Time,USER_00002,NAME_00002,This Sunday I will have my first dose of covid 19 vaccine @Walgreens and not because of my age because I have one kidney and I’m very vulnerable to the COVID-19 per my doctor @tghmedicalgroup,0,0,2,North America,1.37E+18,2021
2021-03-11 21:31:53 Iran Standard Time,USER_00003,NAME_00003,"Our CEO, Jacqueline Burgess-Bishop got her second COVID vaccine today. Not only is she passionate about kidney health, she knows protecting herself and others from COVID-19 is good for everyone’s health!  https://t.co/pa5CJOnYTc",0,1,14,North America,1.37E+18,2021
2021-03-07 22:31:39 Iran Standard Time,USER_00002,NAME_00002,@CarlosGSmith @IvyFaeCat @GovRonDeSantis We all need the covid 19 vaccine especially me being a @HillsboroughFL employee with one ☝️ kidney. Like my parents said years ago it’s better to be safe than sorry,0,1,4,North America,1.37E+18,2021
2021-03-04 08:14:46 Iran Standard Time,USER_00004,NAME_00004,"My friend Kayla, a young double kidney transplant recipient in Michigan, is very high risk for Covid &amp; very concerned about having to wait months for her turn. Young high risk/disabled people need to be prioritized higher for the vaccine instead of going by just age.  #HighRiskMI",0,0,2,North America,1.37E+18,2021
2021-03-01 23:59:10 Iran Standard Time,USER_00005,NAME_00005,Margaret received a kidney transplant last year and received her COVID-19 vaccination today. She decided to get the vaccine after getting sick with coronavirus.  https://t.co/gmn6qdwF0b,0,0,1,North America,1.37E+18,2021
2021-02-27 19:00:48 Iran Standard Time,USER_00006,NAME_00006,@l20517685 @CPHO_Canada You know that a survival rate of 95% really isn’t that good right? That’s a one in twenty chance of death. And “survival” isn’t a complete description of the outcome - long haulers have kidney and severe outcomes. No vaccine has a risk so severe as Covid.,0,0,0,North America,1.37E+18,2021
2021-02-21 16:12:02 Iran Standard Time,USER_00007,NAME_00007,"National Kidney Foundation  @nkf  What side effects could you experience after receiving the COVID-19 vaccine? Learn more:  https://t.co/OvPiQOX8Ab @ Hammond, Indiana  https://t.co/djpKfZpiPM",0,0,0,North America,1.36E+18,2021
2021-02-15 03:13:33 Iran Standard Time,USER_00008,NAME_00008,"Valentines Day gift for my sweetie was my finding a Covid Vaccine appointment for her. Although she’s younger than the 65 year old cut-off, her dual pancreas/kidney solid organ transplant was one of the exceptions to the age rule. Live on my love!",0,0,0,North America,1.36E+18,2021
2021-02-07 00:00:11 Iran Standard Time,USER_00009,NAME_00009,"@SenOssoff @jeanniedm @ossoff I'm 63 years old. I'm disabled with Diabetes, COPD, lung, heart, &amp; kidney condition. I got my flu &amp; Pneumonia shot. My doctor tells me I'm not 65 so I'll have to wait for COVID vaccine. Do I have to wait 2 more yrs before I get it or just wait to die before I get it?",0,0,0,North America,1.36E+18,2021
