Tweet_created_at,likes_count,replies_count,retweets_count,username,name,birth_date,country_name,tweet_text,id,year
Tue Feb 13 23:55:19 +0000 2024,1174,30,743,USER_00001,NAME_00001,,United States,"""...the first COVID shot was called the hepatitis B vaccine...
Vaccine AIDS is COVID-19 : Unintended consequences of three decades of liability-free vaccine...
So everything they're calling vaccines are not and so now we've got an explosion of chronic diseases...

There's no such thing as autoimmunity, you don’t attack yourself. We are poisoned with underlying conditions that go back three generations, as disease X was all about poisoning our X chromosome, the On-Off switch of our genes, our own god-given endogenous virome protects...
We saw it then, we see it now.
Hey, we heal it now!""

For the Autism Health conference  presentation replays, purchase a ""Virtual Recording Ticket"" :
@ https://t.co/ko82lVqlZG

#truth #health #news #vaccine #Autism #Covid_19 #DiseaseX #DiedSuddenly #XMRV #Fauci #CDC #FDA #Faith #GodWins @autism #AIDS #FreedomOfSpeech",1.76E+18,2024
Thu Jan 04 16:22:17 +0000 2024,722,31,466,USER_00001,NAME_00001,,United States,"""Here's SARS CoV2 and the bio weapons. Nothing on the CDC schedule is a vaccine, all are synthetic viruses, synthetic! What did Elon Musk tell you? Oh, what was the silver lining in the whole COVID thing? Oh the knowledge gain on synthetic biology, HIV GP 120. And this comes straight from a picture from the New York Times. SARS ace receptor 2 binding domain it's not a Coronavirus. So every poor Doctor, MD, or anybody else who treated a Coronavirus, and I know many good doctors, like the good doctor Urso and others. The lessons Pierre Kory learned on ivermectin. It's a, it's a retrovirus. You don't test for it that way and you don't treat it that way. The public health even wrote XMRV, PCR is not a good test for XMRVs, because we have a whole genome full of our own god given endogenous viruses, they're bio weapons, they have to be injected. They're defective. They spread the bomb only through you and your family. Not another shot. Every shot has HIV or XMRV in them.""
Watch my full talk at ReAwaken America Tulare: On Bitchute full interview:
https://t.co/fSWAEQw9cR

#truth #health #news #vaccines #ExcessDeaths #thursdayvibes #thursdaymorning #CDC #Covid  #faith #GodWins @TheClayClark",1.74E+18,2024
Thu Jul 27 23:25:17 +0000 2023,141,0,66,USER_00001,NAME_00001,,United States,"Tomorrow 9AM PST, 5PM GMT, I will be talking live with Brian Rose on https://t.co/VjGpme902x! 

#news #truth #health #selfcare #DiedSuddenly #fauci #CDC #FDA #COVID19 #vaccine #government #NIH #HIV #AIDS #XMRV",1.68E+18,2023
Mon Feb 12 15:20:04 +0000 2024,47,2,36,USER_00002,NAME_00002,,,Could COVID Vaccines Lead to an AIDS-like Pandemic? https://t.co/haawv3LTTs,1.76E+18,2024
Mon Feb 12 15:22:08 +0000 2024,10,0,15,USER_00002,NAME_00002,,,Could COVID Vaccines Lead to an AIDS-like Pandemic? https://t.co/aWH7yjB0DJ,1.76E+18,2024
Sun Feb 11 14:32:00 +0000 2024,35,7,14,USER_00003,NAME_00003,,United States,"When people find out the COVID vaccines are owned by the NIH, AND were manufactured by Military contractors not Pfizer. Just like AIDS was created by the military. #WakeUp",1.76E+18,2024
Sun Feb 11 18:38:44 +0000 2024,0,0,1,USER_00004,NAME_00004,,,Long covid.  Aids virus added to covid vaccine.  You'll be good  for 8 or 9 years .,1.76E+18,2024
Wed Feb 14 13:58:07 +0000 2024,39,1,75,USER_00005,NAME_00005,,Australia,"Could COVID Vaccines Lead to an AIDS-like Pandemic?
#longcovid https://t.co/03qMrXSURa",1.76E+18,2024
Mon Jan 22 02:26:50 +0000 2024,55,0,110,USER_00005,NAME_00005,,Australia,"01/19/2024 Dr. Peter McCullough: Nine studies are reporting false positive HIV tests.
This can happen after Covid and Covid vaccination, which suggests a form of immunodeficiency.
So the investigation into VAIDS ( Vaccine Acquired Immune Deficiency Syndrome) is very important. https://t.co/iYfHnTjWQ2",1.75E+18,2024
Thu Dec 28 07:23:17 +0000 2023,59,4,101,USER_00005,NAME_00005,,Australia,"Professor Burkhardt said in a widely circulated speech that he would not advise women get pregnant with men who have been vaccinated with C19 vaccine.

In the interview, he provided more context for his statement and explained how the COVID-19 vaccine affects reproductive organs! https://t.co/6lWK2J1SLK",1.74E+18,2023
Tue Feb 13 12:51:21 +0000 2024,46,1,2,USER_00006,NAME_00006,,,"@DrJanKirsch @MakisMD AIDS by covid vaccine by Doctors 

https://t.co/BRQ22L7qu1",1.76E+18,2024
Sat Feb 10 00:48:21 +0000 2024,75,3,9,USER_00007,NAME_00007,,,"Abbot Laboratories is a top Amazon advertiser. 
Abbot manufactured the experimental hep b vaccine that spread the AIDS bioweapon in Manhatten, caused a baby formula shortage after their formula was recalled for bacterial infections, and made the first widely used covid tests. https://t.co/0fhG36kpRX",1.76E+18,2024
Wed Feb 14 23:14:15 +0000 2024,5,2,1,USER_00008,NAME_00008,,United Kingdom,The Covid denialist/anti-vaccine/AIDS denialist “crank magnetism” 😢,1.76E+18,2024
Wed Feb 14 20:51:48 +0000 2024,97,14,23,USER_00008,NAME_00008,,United Kingdom,"Such a surprise (not!) that prominent Covid denialists are also AIDS denialists/homophobes/Fauci haters

Reminder: Bret is one of the vaccine experts on Ron DeSantis's vaccine advisory panel; the other experts are listed at https://t.co/kvSnyMJokA",1.76E+18,2024
Mon Feb 12 11:36:14 +0000 2024,0,0,0,USER_00009,NAME_00009,,,Could COVID Vaccines Lead to an AIDS-like Pandemic? https://t.co/DS377Nzmby,1.76E+18,2024
Sat Feb 10 19:54:10 +0000 2024,12,3,1,USER_00010,NAME_00010,,,"@LFaraday The COVID vaccine was quickly synthesized due to the prior ten years of research and advancements successfully developing the AIDS vaccine.
Me thinks this is what sticks in the antivaxxers craw.
Geeze. Get a life.",1.76E+18,2024
