tweet,label,Stance_number
is anyone nervous about the possible long-term effects of a super rushed vaccine though? i'm personally worried about potential effects that won't be known until years down the line 🙁 https://t.co/ZS0HlaCOVN,AntiVax,0
So now getting the covid vaccine is receiving the mark of the beast? OK,ProVax,1
TRENDING -- The COVID Vaccine “War”: Screws Loose in our Moral Framework https://t.co/IOECgHxVKv,Neutral,2
"Hospitalizations are surging and 35 new deaths were announced today, but the #Quebec gov’t just gave the green light to meetings of 250 people in hotels and conference rooms, even in the red zone. 🤯😳 We better all pray for speedy access to that vaccine. #COVID19 #qcpoli",ProVax,1
"There are really people out here trying to make money off the COVID-19 vaccine? Like how selfish can you be, WE ARE IN A TIME OF CRISIS AND YOU CAN ONLY THINK OF YOURSELF?? what a fucking world we live in dude",ProVax,1
"@user so @user looks like wants to make COVID-19 vaccine compulsory, over my dead body am I having it. https://t.co/zNVseBSVzu",AntiVax,0
#ClimateChange #COVID__19 #covax #vaccine #populationcontrol Group of Scientists Calls for Population Control: Speak Out https://t.co/vfSTIbFQ5N via @user,Neutral,2
Covid updates: Trump to sign ‘America First’ vaccines policy as first U.S. approval could be days away https://t.co/DdreibZRv8,Neutral,2
COVID news live – latest UK updates: ‘The UK did not do it as carefully’ - Dr Anthony Fauci criticises Pfizer vaccine approval | UK News | Sky News https://t.co/3u92M2pEJQ,Neutral,2
"Be ready either way, this ""health passport"" is coming and so are the vaccines that are ""activated with a device that resembles a toothbrush, which delivers an electrical impulse for a fraction of a second, allowing the DNA to penetrate the body's cells and carry out its mission"" https://t.co/t6r7rdvpE4",AntiVax,0
Increasingly encouraging news on vaccines and therapeutics https://t.co/oTzzJoFH8l,ProVax,1
"Talking about vaccines, tRump just said COVID-19 is a new virus. Why then does he blame Obama for not having anything for this virus? If it is “new”, how would Obama have done anything if it was unknown 4 years ago? SAD! #drainthetrump",Neutral,2
"@user Covid-19 didn't exist... This was ""A"" coronavirus vaccine.",AntiVax,0
"Wow! Dutch scientist discover antibody that neutralizes SARS-CoV-2, the Coronavirus. This antibody targets viruses and offers potential for treatment of COVID-19. This scientific breakthrough doesn't pertain to a vaccine, but a medicine, and it has yet to be tested on humans.",Neutral,2
@user They are trying to connect human through the fucking vaccine that will be injected to us saying we are been giving vaccine of the corona of a thing. My fellow Nigerians there is another world coming after the lockdown I bet it,AntiVax,0
"@user Since COVID-19 isn’t the flu & may be 10+ times deadlier than the flu (see last line in attached by Johns Hopkins), I’d say the vast majority of smart people should/would get a COVID-19 vaccine, if deemed safe. Anti-vaxxers & Trumpists are another story. https://t.co/czW3nwKs44",ProVax,1
Moderna files for approval of COVID-19 vaccine in the US and EU https://t.co/ShIp93e0d8,Neutral,2
Trump to sign coronavirus vaccine executive order prioritizing Americans over foreign nations,Neutral,2
@user when you get the flu vaccine ... what happens ? lol you get the flu... when you get the CORONAVIRUS vaccine .... whats gonna happen??? youre gonna get coronavirus. FUCK THAT. nah. put me tf in jail Biden,AntiVax,0
"Good luck with that vaccine theory , mutation like this mean we cannot have a vaccine for a long time. https://t.co/eETt5NHkbe",ProVax,1
Here’s a pretty cool graphic from our @user story on how the Pfizer Covid vaccine - that the UK just approved - is kept ultra cool https://t.co/C5CtbqdSlu https://t.co/ZXmA3MU5G0,ProVax,1
"If the world doesn't get a vaccine quickly to end #Coronavirus pandemic, The world especially Africa will soon be hit by something more deadlier than covid-19 Which is ""HUNGER"" remember about 10 million people in Nigeria presently experience chronic #hunger & the consequences https://t.co/3bWDub4EDI",ProVax,1
@user I’m fully aware of it. I’m also fully aware that Pfizer’s CEO issued a statement yesterday confirming that the compass not part of Project Warp Speed!,Neutral,2
The latest Disruptanomics: #Economics in the Global #Economy! https://t.co/TbVN1sBinS #covid19 #vaccine,Neutral,2
90 years old British woman is the first recipient of covid19 vaccine!!,Neutral,2
It’s awesome seeing all these people thanking Dolly Parton for the Covid vaccine. Remember that the next time you try and say Tennessee is a shitty state. Merry Christmas.,ProVax,1
"@user But, Hold On! Isn't this 'Covid Virus' part of some kind of 'Left-wing conspiracy'. If It is, then why worry about getting a vaccine against it? How many positions can a light switch be in?",ProVax,1
.@user ACIP panel has entered the final stages of its meeting about who gets the #COVID19 vaccine first and is preparing to vote. https://t.co/DxqryIXNeu See below for the current order up for the vote. HCP = health-care personnel; LTCF = long-term care facility. https://t.co/tUCcXpIMti,Neutral,2
"@user Spreading infection of a disease with a 99.997% survival rate if you are under 70 and healthy... Okay... And you know it says on the box the masks do not protect you from COVID19? Just making sure you know. Oh but after being warned, beva good sheep and get the vaccine 😂",AntiVax,0
Y’all gon get the Corona vaccine when its released?,Neutral,2
"chemistry labs should be opened to explore small molecule treatments ""Don’t bet on vaccine to protect us from Covid-19, says world health expert"" https://t.co/QYrDEkDCEV",Neutral,2
Breaking: The Covid-19 vaccine being developed by Pfizer and BioNTech prevent more than 90% of infections in a study of tens of thousands of volunteers. Stock futures jump https://t.co/cnPhdW9G6X,Neutral,2
@user I'm not trusting any vaccine confirmed by the same guy who said COVID-19 was a hoax.,AntiVax,0
